,Unnamed: 0,address,city,in_stable,latitude,longitude,name,state,uuid,zip,status
65,65,3283 Motor Ave,Los Angeles,1.0,,,Brilhante Company,CA,2213d45f-6ff5-4bbb-9c54-6ee360a428fb,90034.0,stable
66,66,5353 W Imperial Hwy,Los Angeles,1.0,,,Sterling Transportation,CA,222f0812-a1a2-4a5b-8f78-1101f27310b4,90045.0,stable
67,67,13101 W Washington Blvd,Los Angeles,1.0,,,Intertek Industries,CA,2615c653-52ef-4f4a-9be1-e6ad901556e1,90066.0,stable
68,68,508 Salem St,Glendale,0.0,,,Abc Building Care,CA,3450a71c-ea77-41a2-aa1a-957260399326,91203.0,edge
69,69,19425 Soledad Canyon Rd,Santa Clarita,1.0,34.416042744753625,{},Critter Busters,CA,448c01f5-4736-4fff-987c-f9b2e49aa957,91351.0,stable
70,70,8017 Sargent Ave,Whittier,1.0,,,Nextday Techs,CA,45e98abb-627e-4cd6-8ada-9f5f64354f07,90602.0,stable
71,71,385 Van Ness Ave,Torrance,1.0,,,Jc Chang & Associates,CA,4cb06f23-a0b7-4e30-a118-d2414cb2cb04,90501.0,stable
72,72,10280 Glenoaks Blvd,Pacoima,1.0,,,California Signs · C A Signs,CA,610ae0db-8d15-4253-889f-6ef91193fe29,91331.0,stable
73,73,16102 Orange Ave,Paramount,1.0,,,Mill Mike Manufacturing,CA,61e6b325-2c32-4429-8ece-b512b69ed329,90723.0,stable
74,74,4347 Whitsett Ave,Studio City,1.0,,,XPRT Staffing,CA,af80debf-482a-4c03-81be-2c99b958f884,91604.0,stable
75,75,5199 E Pacific Coast Hwy,Long Beach,1.0,,,Alpha Star,CA,c9387dc3-9d0a-41b2-a7ed-01f38046dfb5,90804.0,stable
76,76,1558 E Grand Ave,El Segundo,1.0,,,Griffin Capital,CA,cd05cab5-5f18-4aaf-8d70-12a1574d3a2d,90245.0,stable
77,77,330 W Duarte Rd,Monrovia,1.0,,,Roncelli Plastics,CA,050d4367-10f0-413a-82d0-7e01a6735dbf,91016.0,stable
78,78,925 W Esther St,Long Beach,1.0,,,Ocean Blue Environmental,CA,08ea494a-92c2-4236-b5ec-8485861320bf,90813.0,stable
79,79,15260 Ventura Blvd,Sherman Oaks,1.0,,,Roberton Taylor Ca,CA,4de5cf09-a492-4ab6-a640-b4e71e78bead,91403.0,stable
80,80,5106 Azusa Canyon Rd,Baldwin Park,1.0,,,Falcon Electric,CA,4ee36ddf-6626-45ff-8cf5-43922b3ca0fd,91706.0,stable
81,81,560 N Larchmont Blvd,Los Angeles,0.0,,,Lambda Supply Corporation,CA,62f33d34-aef9-483f-affb-1879e0d520a7,90004.0,edge
82,82,6860 Canby Ave,Reseda,1.0,,,Rainbow Symphony,CA,68f4b55c-270f-40b8-9f6c-e99ebe125d88,91335.0,stable
83,83,1500 E Burnett St,Signal Hill,1.0,,,Blair Martin,CA,a1db21a2-9161-4178-907a-40d8dd891ea2,90755.0,stable
84,84,429 E Huntington Dr,Monrovia,1.0,,,Koncept Technologies,CA,afa2deb2-cc30-449c-90b9-613e75517f92,91016.0,stable
85,85,134 N Vermont Ave,Glendora,0.0,,,Vobecky Enterprises,CA,b8dc4b94-791b-4f78-aafb-6de37c5f3a33,91741.0,edge
86,86,6131 Telegraph Rd,Commerce,1.0,,,Crowne Plaza Hotel Commerce Casino,CA,c1a3a942-d07c-4a32-a734-796405b2ceee,90040.0,stable
